"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Defesa";"Comando do Exército";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32221036668854000198550010000006991062276727";"0,00";"04/10/2022";"699";"1";
"Ministério da Defesa";"Comando do Exército";"G2B COMERCIO E REPRESENTACOES LTDA";"36.668.854/0001-98";"CACHOEIRO DE ITAPEMIRIM";"32221036668854000198550010000007151062276722";"0,00";"20/10/2022";"715";"1";
"Ministério da Defesa";"Comando do Exército";"43.084.056 LIZANDRA RIBEIRO PINTO";"43.084.056/0001-84";"SALVADOR";"29241013937073000156558900610919241491981444";"0,00";"31/10/2024";"61091924";"890";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240818355397000108550020003081241862548211";"1,42";"13/08/2024";"308124";"2";
"Ministério da Educação";"Universidade Federal do Paraná";"EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACA";"32.005.178/0001-11";"SAO PAULO";"35241032005178000111550010000011611934938136";"10,00";"03/10/2024";"1161";"1";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241118355397000108550020003353141185423993";"20,32";"21/11/2024";"335314";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003427101158137264";"20,52";"19/12/2024";"342710";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35241218355397000108550020003432241809114057";"20,52";"20/12/2024";"343224";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240418355397000108550020002806931967853960";"20,87";"30/04/2024";"280693";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35240918355397000108550020003158121170448989";"21,35";"10/09/2024";"315812";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35221018355397000108550020001633561809114057";"25,64";"11/10/2022";"163356";"2";
"Ministério da Educação";"Instituto Federal do Espírito Santo";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35220318355397000108550020001190881174547282";"25,73";"09/03/2022";"119088";"2";
"Ministério da Educação";"Universidade Federal do Ceará";"EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA";"08.065.700/0001-76";"SAO PAULO";"35240508065700000176550010000312591485841880";"28,24";"15/05/2024";"31259";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002231011173112285";"36,29";"04/08/2023";"223101";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002238771192738433";"36,29";"08/08/2023";"223877";"2";
"Sem informação";"Sem informação";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002265111170524894";"36,29";"21/08/2023";"226511";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230818355397000108550020002286041421951267";"36,29";"30/08/2023";"228604";"2";
"Ministério do Meio Ambiente e Mudança do Clima";"Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis";"DEAL4B SOLUÇÕES EM TECNOLOGIA LTDA";"18.355.397/0001-08";"JAGUARIÚNA";"35230618355397000108550020002139671145652488";"36,29";"21/06/2023";"213967";"2";
